Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
278,Journal of Environmental Economics and Management,C,6.6684132267
279,Information Systems Frontiers,C,6.660354278
280,MIS Quarterly Executive,C,6.6502833284
281,Journal of Economics and Business,C,6.6428897751
282,NeuroPsychoEconomics,C,6.6375922895
283,Computer Supported Cooperative Work,C,6.6261339032
284,Journal of Engineering and Technology Management (formerly: Engineering Management International),C,6.6250968376
285,IEEE Pervasive Computing,C,6.6238723239
286,Group and Organization Management (formerly: Group and Organization Studies),C,6.6222439789
287,European Journal of Law and Economics,C,6.6156296165
288,Entrepreneurship and Regional Development,C,6.6126201309
289,Journal of Enterprising Culture,C,6.6124882334
290,Journal of Service Management (formerly: International Journal of Service Industry Management),C,6.5970310114
291,International Journal of Business Research,C,6.5883496847
292,Economics of Innovation and New Technology,C,6.5832248647
293,Communications of the Association for Information Systems (CAIS),C,6.5808037873
294,German Economic Review,C,6.5596480086
295,International Journal of the Economics of Business (formerly: Journal of the Economics of Business),C,6.5463765528
296,International Journal of Operations and Production Management,C,6.5408686013
297,Journal of Advertising Research JAR,C,6.5343133765
298,Journal of Applied Corporate Finance,C,6.533933316
299,British Accounting Review,C,6.5244518685
300,Information Systems and eBusiness Management,C,6.5205792363
301,International Journal of Innovation and Sustainable Development,C,6.5045606527
302,European Journal of Information Systems,C,6.4906171076
303,Journal of Purchasing and Supply Management (formerly: European Journal of Purchasing and Supply Management),C,6.4847424538
304,Human Resource Management Review,C,6.4838883556
305,Academy of Management Perspectives (formerly: Academy of Management Executive),C,6.4776889835
306,Journal of Retailing and Consumer Services,C,6.4670305448
307,Advances in Futures and Options Research,C,6.4665134825
308,Journal of Consumer Behaviour,C,6.4639445846
309,Journal of International Entrepreneurship,C,6.4626178296
310,Human-Computer Interaction,C,6.4553177258
311,Zeitschrift für Personalpsychologie,C,6.4424375453
312,European Journal of International Management,C,6.4421275448
313,Advances in Strategic Management,C,6.427151802
314,Energy Economics,C,6.4234611868
315,Journal of Developmental Entrepreneurship,C,6.4199791703
316,International Studies of Management and Organization,C,6.4151544584
317,International Journal of Accounting,C,6.4067651808
318,Venture Capital: An International Journal of Entrepreneurial Finance,C,6.4041697774
319,Transportation,C,6.399889601
320,ACM Transactions on Computer Human Interaction,C,6.395230842
321,European Journal of Work and Organizational Psychology,C,6.3833100509
322,European Journal of Industrial Relations,C,6.3824784065
323,IEEE Transaction on Product Engineering and Production,C,6.3745762712
324,International Journal of Services and Operations Management,C,6.3733691343
325,Problems and Perspectives in Management,C,6.367673406
326,Journal of Small Business and Entrepreneurship,C,6.3665317442
327,Lecture Notes in Informatics (LNI) (der Gesellschaft für Informatik)*,C,6.3649541534
328,Creativity and Innovation Management,C,6.3594374482
329,Medienwirtschaft - Zeitschrift für Medienmanagement und Kommunikationsökonomie,C,6.3578300923
330,International Journal of Cross Cultural Management,C,6.3563530916
331,Accounting and Finance,C,6.3519083486
332,Cross-Cultural Research,C,6.350290385
333,Advances in Consumer Research,C,6.3479814486
334,Supply Chain Management. An International Journal,C,6.3389629601
335,Journal of Small Business Strategy,C,6.3365434186
336,Communications of the ACM CACM,C,6.3315611202
337,Journal of Services Marketing,C,6.3248712589
338,Interfaces,C,6.3234603896
339,International Management,C,6.3146125309
340,European Management Review,C,6.3130140621
341,Journal of Healthcare Management,C,6.3030561075
342,Employee Relations,C,6.3021133221
343,Evolutionary Computation,C,6.2965022877
344,Management Decision,C,6.2885432032
345,European Management Journal,C,6.2812408536
346,Journal of Management and Governance,C,6.2730846381
347,Jahrbücher für Nationalökonomie und Statistik: Journal of Economics and Statistics,C,6.2653036218
348,International Journal of Information Management,C,6.2564449455
349,California Management Review,C,6.2530477637
350,Journal of Electronic Commerce Research,C,6.2495060958
351,Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen,C,6.2489854201
352,Accounting and the Public Interest,C,6.2450520833
353,Journal of Taxation,C,6.2324430823
354,Production Planning and Control,C,6.2243265755
355,International Journal of Finance,C,6.2171073902
356,Journal of Business-to-Business Marketing,C,6.1975883701
357,Review of Accounting and Finance,C,6.1934572176
358,Fiscal Studies,C,6.1920783332
